Restaurant Name,Address,Average Yelp Review,#Pass,#Conditional,#Failed Inspection
Johnny Rockets,"177 N State St Chicago, IL 60602 Neighborhood: The Loop",2.42,9,0,4
Jaffa Bakery,"105 W Madison St (between Clark St & La Salle St) Chicago, IL 60602 Neighborhood: The Loop",3.0,10,0,7
Jimmy Johns,"216 W Jackson Blvd (between Wells St & Franklin St) Chicago, IL 60606 Neighborhood: The Loop",3.0,114,25,19
Jimmy Green's,"825 S State St (between Polk St & 9th St) Chicago, IL 60605 Neighborhood: South Loop",3.75,13,0,2
Jimmy Figs,"160 N Franklin St (between Couch Pl & Randolph St) Chicago, IL 60606 Neighborhood: The Loop",2.78,2,0,1
Jamba Juice,"190 W Madison St (between La Salle St & Wells St) Chicago, IL 60602 Neighborhood: The Loop",4.0,21,4,6
Jason's Deli,"195 N Dearborn (between Lake St & Couch Pl) Chicago, IL 60601 Neighborhood: The Loop",4.44,9,1,2
Jazzman's Cafe & Bakery,"100 W. Randolph St (between Michigan Ave & Beaubien Ct) Chicago, IL 60601 Neighborhood: The Loop",1.5,0,0,0
Jersey Mike's Subs,"200 W Monroe St Chicago, IL 60606 Neighborhood: The Loop",3.0,24,4,6
JW Marriott,"151 W. Adams (between La Salle St & Wells St) Chicago, IL 60603 Neighborhood: The Loop",3.4,16,0,9
Garden Village Deli,"100 N La Salle St (between Washington St & Court Pl) Chicago, IL 60602 Neighborhood: The Loop",4.17,1,0,0
Garrett Popcorn Shops,"4 E Madison St (between State St & Holden Ct) Chicago, IL 60602 Neighborhood: The Loop",4.37,29,2,2
Gina's Cuisine,"424 S Wabash Ave (between Van Buren St & Congress Pky) Chicago, IL 60605 Neighborhood: The Loop",4.0,0,0,0
Gino's East Sports Bar,"521 S Dearborn St (between Harrison St & Congress Pky) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",3.71,9,0,0
Gioco,"1312 S Wabash (between 13th St & 14th St) Chicago, IL 60605 Neighborhood: Near Southside",3.68,8,2,4
Gioia Candy & More,"333 S State St (between Jackson Blvd & Van Buren St) Chicago, IL 60604 Neighborhood: The Loop",3.0,9,1,0
Giordano's,"135 E Lake St (between Stetson Ave & Beaubien Ct) Chicago, IL 60601 Neighborhood: The Loop",3.64,34,11,4
Gold Coast Dogs,"222 S Riverside Plz Lowr LL14 (between Adams St & Jackson Blvd) Chicago, IL 60606",3.33,9,5,0
Goodwin's,"175 N Franklin St Ste 106 (between Monroe St & Couch Pl) Chicago, IL 60606 Neighborhood: The Loop",4.17,12,3,4
Grace O'Malley's,"1416 S Michigan Ave (at 14th St) Chicago, IL 60605 Neighborhood: Near Southside",3.04,1,0,0
Great Steak & Potato Co.,"233 N Michigan Ave Illinois Center (between Lake St & Wacker Pl) Chicago, IL 60601 Neighborhood: The Loop",2.67,5,0,2
Green Apple,"201 N Clark St 2nd Floor (between Lake St & Haddock Pl) Chicago, IL 60601 Neighborhood: The Loop",4.11,15,2,7
Grillers,"77 W Jackson Blvd (between Wabash Ave & Michigan Ave) Chicago, IL 60604 Neighborhood: The Loop",4.0,6,0,1
Eat & Drink,"212 W Randolph St (between Franklin St & Wells St) Chicago, IL 60606 Neighborhood: The Loop",3.22,4,0,0
Edwardo's Natural Pizza Restaurant,"521 S Dearborn St (between Congress Pky & Harrison St) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",2.92,9,0,0
Eggy's Diner,"333 E Benton Pl Ste 103 Chicago, IL 60601 Neighborhood: The Loop",2.77,6,4,2
Einstein Bros Bagels,"30 N La Salle St (between Calhoun Pl & Washington St) Chicago, IL 60602 Neighborhood: The Loop",4.0,15,2,1
Elephant & Castle,"185 North Wabash Avenue Chicago, IL 60601 Neighborhood: The Loop",2.81,21,2,6
Eleven City Diner,"1112 S Wabash Ave (between 11th St & Roosevelt Rd) Chicago, IL 60605 Neighborhood: South Loop",3.27,13,2,0
Emerald Loop,"216 N Wabash Ave (between Lake St & Haddock Pl) Chicago, IL 60601 Neighborhood: The Loop",3.28,7,1,1
Emil's Bar & Grill,"101 N Wacker Dr Lbby 1 Chicago, IL 60606",3.17,1,0,0
Encore Liquid Lounge,"171 W Randolph St (between Beaubien Ct & Stetson Ave) Chicago, IL 60601 Neighborhood: The Loop",3.65,4,0,0
Epic Burger,"517 S State St (between Congress Pky & Harrison St) Chicago, IL 60605 Neighborhood: South Loop",3.54,6,2,5
"Everest - The Loop - Chicago, IL","One Financial Place 440 S LaSalle St,40th Fl Chicago, IL 60605 Neighborhood: The Loop",3.8,6,3,1
"Exchequer Restaurant & Pub - The Loop - Chicago, IL","226 S Wabash Ave Chicago, IL 60604 Neighborhood: The Loop",3.64,10,3,2
